region,era_years,era_name,category,item_description
West Coast,1983-1989,Electro & Early Gangsta,Pants,Slim-fit Adidas track pants with ankle zippers
West Coast,1983-1989,Electro & Early Gangsta,Pants,Straight-leg Lee jeans with a light wash
West Coast,1983-1989,Electro & Early Gangsta,Pants,Straight-leg corduroy pants in earth tones
West Coast,1983-1989,Electro & Early Gangsta,Pants,Relaxed-fit Dickies work pants in khaki
West Coast,1983-1989,Electro & Early Gangsta,Pants,Straight-leg Levi's 501 jeans in dark indigo
West Coast,1983-1989,Electro & Early Gangsta,Pants,Slim-fit Adidas Firebird track pants with three-stripe detailing
West Coast,1983-1989,Electro & Early Gangsta,Tops,Fitted Kangol-era polo shirt with a popped collar
West Coast,1983-1989,Electro & Early Gangsta,Tops,Slim-fit Adidas tracksuit jacket with zip front
West Coast,1983-1989,Electro & Early Gangsta,Tops,Relaxed-fit printed graphic tee with electro-inspired artwork
West Coast,1983-1989,Electro & Early Gangsta,Tops,"Oversized Los Angeles Raiders NFL jersey, 1980s block-number style"
West Coast,1983-1989,Electro & Early Gangsta,Tops,"Oversized Los Angeles Kings NHL jersey, 1980s block-letter style"
West Coast,1983-1989,Electro & Early Gangsta,Tops,Relaxed-fit open-collar shirt with short sleeves
West Coast,1983-1989,Electro & Early Gangsta,Accessories,Kangol bucket hat in solid black
West Coast,1983-1989,Electro & Early Gangsta,Accessories,Kangol flat cap in red
West Coast,1983-1989,Electro & Early Gangsta,Accessories,Cazal 607 eyeglasses with gold frames
West Coast,1983-1989,Electro & Early Gangsta,Accessories,Cazal 856 sunglasses with oversized frames
West Coast,1983-1989,Electro & Early Gangsta,Accessories,"Fat gold rope chain necklace, heavy gauge"
West Coast,1983-1989,Electro & Early Gangsta,Accessories,Adidas Superstar shell-toe sneakers with no laces
West Coast,1983-1989,Electro & Early Gangsta,Accessories,Fila high-top sneakers in white and navy
West Coast,1983-1989,Electro & Early Gangsta,Accessories,Motorola beeper clipped to belt
West Coast,1989-1995,G-Funk & Gangsta Rap,Pants,Very baggy Dickies 874 work pants with a sharp center crease in khaki
West Coast,1989-1995,G-Funk & Gangsta Rap,Pants,Very baggy Dickies 874 work pants with a sharp center crease in charcoal gray
West Coast,1989-1995,G-Funk & Gangsta Rap,Pants,Very baggy Ben Davis pants with a relaxed cut in black
West Coast,1989-1995,G-Funk & Gangsta Rap,Pants,Baggy khaki chino pants with a pressed crease
West Coast,1989-1995,G-Funk & Gangsta Rap,Pants,Extra-baggy Levi's jeans sagging below the waist with boxers showing
West Coast,1989-1995,G-Funk & Gangsta Rap,Pants,Baggy Levi's 501 jeans in dark indigo with a stiff unwashed finish
West Coast,1989-1995,G-Funk & Gangsta Rap,Tops,"Oversized flannel shirt in red and black plaid, buttoned only at the top"
West Coast,1989-1995,G-Funk & Gangsta Rap,Tops,"Oversized flannel shirt in blue and black plaid, buttoned only at the top"
West Coast,1989-1995,G-Funk & Gangsta Rap,Tops,Very tall plain white tee hanging past the waist
West Coast,1989-1995,G-Funk & Gangsta Rap,Tops,Oversized Pendleton wool shirt in dark plaid
West Coast,1989-1995,G-Funk & Gangsta Rap,Tops,Relaxed-fit Dickies short-sleeve button-up work shirt in gray
West Coast,1989-1995,G-Funk & Gangsta Rap,Tops,"Oversized Los Angeles Raiders NFL jersey, 1990s baggy fit with screen-printed numbers"
West Coast,1989-1995,G-Funk & Gangsta Rap,Tops,"Oversized Los Angeles Kings NHL jersey, 1990s baggy fit with sewn-on crest"
West Coast,1989-1995,G-Funk & Gangsta Rap,Tops,"Oversized Los Angeles Dodgers MLB jersey, 1990s baggy fit with script lettering"
West Coast,1989-1995,G-Funk & Gangsta Rap,Tops,"Plain white ribbed undershirt tank top, fitted"
West Coast,1989-1995,G-Funk & Gangsta Rap,Accessories,Loc sunglasses with dark lenses and slim rectangular frames
West Coast,1989-1995,G-Funk & Gangsta Rap,Accessories,Red bandana folded and tied around the head
West Coast,1989-1995,G-Funk & Gangsta Rap,Accessories,Blue bandana folded and tied around the head
West Coast,1989-1995,G-Funk & Gangsta Rap,Accessories,Converse Chuck Taylor All-Star sneakers in all black
West Coast,1989-1995,G-Funk & Gangsta Rap,Accessories,Converse Chuck Taylor All-Star sneakers in all white
West Coast,1989-1995,G-Funk & Gangsta Rap,Accessories,Nike Cortez sneakers in white with red and blue swoosh
West Coast,1989-1995,G-Funk & Gangsta Rap,Accessories,House slippers worn outdoors
West Coast,1989-1995,G-Funk & Gangsta Rap,Accessories,Thin gold chain necklace with a small pendant
West Coast,1989-1995,G-Funk & Gangsta Rap,Accessories,"Thick silver chain necklace, Cuban link style"
West Coast,1989-1995,G-Funk & Gangsta Rap,Accessories,"Jheri curl hairstyle, wet and glossy"
